,Unnamed: 0,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate,review
11,11,600190,Ski Jump VR,2017-06-09,5500.0,6.0,6.0,Sports,0.0,17.0,Sports,1.0,0.0,0.0,,mixed,single only,10.0,6.0,,,51.3,"EARLY ACCESS REVIEW
I think the game is wonderful. I love it. However, I think it would be better if you add signal timers (blue, orange, red signal timer) it will be more fantastic"
12,12,600200,Smintheus,2021-11-12,15500.0,6.0,6.0,Action,0.0,51.0,Indie,1.0,0.0,0.0,,4 user reviews,single only,4.0,1.0,0.2,1.0,34.2,
13,13,600210,RoboMatch,2017-03-06,3300.0,5.0,5.0,Casual,0.0,12.0,Indie,5.0,0.0,0.0,,mixed,single only,30.0,23.0,,,2.3,
14,14,600230,Epsilon Jump Prime,2017-10-21,4500.0,6.0,6.0,Action,0.0,14.0,Action,1.0,0.0,0.0,,no user reviews,single only,2.0,0.0,,,27.9,
15,15,600250,Art of Guile,2017-08-11,5500.0,5.0,5.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,positive,single and multi,30.0,9.0,,,,
16,16,600260,Jungle Dino VR,2016-06-24,10500.0,6.0,6.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,1 user reviews,single only,0.0,1.0,,,,
17,17,600280,Supreme Ruler The Great War,2017-08-02,21000.0,5.0,5.0,Indie,0.0,20.0,Strategy,4.0,0.0,0.0,,mixed,single only,68.0,39.0,,,4.4,
18,18,600290,The Forgotten Void,2018-05-09,8500.0,5.0,5.0,Adventure,0.0,17.0,Adventure,1.0,0.0,0.0,,no user reviews,single only,4.0,2.0,,,5.8,
19,19,600310,Rogue'n Roll,2017-02-27,5500.0,6.0,6.0,Action,0.0,22.0,Action Roguelike,1.0,0.0,0.0,,5 user reviews,single only,25.0,9.0,0.0,1390.0,5.8,
20,20,600330,CONTRACTED,2017-03-11,2200.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,9 user reviews,single only,13.0,6.0,0.0,151.0,,
21,21,600350,VectorWars VR,2017-05-02,3300.0,5.0,5.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,4 user reviews,single only,5.0,3.0,1.7,12.0,,
22,22,600370,Paradigm,2017-04-06,16000.0,6.0,6.0,Adventure,0.0,18.0,Adventure,1.0,0.0,1.0,,overwhelmingly positive,single only,1299.0,76.0,2.8,181.0,51.2,"(대충 세계를 구하는 주인공과 세계를 정복하려는 악당이 나온다는 내용) (대충 주인공이 악당을 물리치고 세계를 구한다는 내용) (대충 게임이 약빨은 스토리로 진행되며 유머 99% 로 이루어져 있다는 내용)

유전 정보 조작을 통해 완벽한 아이를 만들어 내는 회사의 총 관리자인 (비뚤어진 성격의) 나무늘보, 그리고 완벽한 아이로 만들어져야 했으나 모종의 이유로 실패작으로 만들어져 버려진 채로 사는 변종인간 Paradigm, 이 둘 사이 벌어지는 기행적인 스토리를 다룬 포인트 앤 클릭 게임이다. 주인공 둘부터 정상적인 상태가 아닌 걸 보면 감이 잡히겠지만, 이 게임의 스토리 자체는 뭔 약을 하고 작성했는지가 의심이 될 정도로 4차원적인 스토리이다. 주인공 외의 등장인물들 (메탈 음악을 다루는 사이비 종교의 주교인 퍼그, 비트박스를 하는 가지, 마약 자판기 안에 사는 문어 등등) 들도 제 정신은 아닌데다가, 게임 중간중간 나오는 미니게임 및 연출들의 상태도 제정신이 아니다. 다만, 그렇다고 스토리가 신선하냐고 물어본다면 애매한데, 이 게임은 게임 진행 및 스토리의 많은 부분이 아이러니함을 강점으로 내세우는 유머 코드 및 일상생활에서 많이 보이는 편견들을 이용한 (또는 깨버리는) 유머 코드들로 이루어져 있으며, 이러한 유머스러움을 빼면 지루한 포인트 앤 클릭 게임밖에 남지 않는다. 왜 지루하다고 강조를 했냐면, 이 게임의 진행 방식은 고대의 포인트 앤 클릭 방식 게임처럼 물체와 상호작용할 때 ""대화 / 집기 / 살펴보기"" 등등의 상호작용이 나누어져 있어 하나하나 확인해봐야 하고, 게임을 진행하기 전에 다른 등장인물로부터 게임 진행에 힌트를 주는 대화를 듣지 않으면 캐릭터가 진행을 하지 못하여 스피드런 방식으로 필요한 아이템만 초고속으로 집고 진행하는 것도 막혀있기 때문이다.

즉, Paradigm 은 게임 내 내재되어 있는 유머가 취향에 맞는다면 처음부터 끝까지 웃으면서 진행할 수 있는 코믹한 게임이고, 그 반대라면 차라리 이 게임으로 더 재미있는 포인트 앤 클릭 게임을 즐길껄! 이라고 후회할 게임이다. 안타깝게도, 개인적인 감상은 전자보다는 후자에 더 가까워서 이 게임을 비추천한다. 게임을 진행하면서 피식하는 부분이 없었던 건 아니었지만 - 예를 들자면, 초반부에 튜토리얼을 보는 부분에서 강아지용 튜토리얼을 보면 나오는 영상이나, 아니면 에필로그에 나오는 연출들은 약간 웃겼다 - 이 게임 내 개그코드 및 밈들이 얼마나 흘러넘쳤는지를 생각하면 거의 정색한 상태로 게임을 진행하였다고 말해도 될 정도이다. 물론 이렇게 냉정하게 게임을 진행한 이유가 평상시에 별로 안 웃고 다니는 본인의 성격 때문일 수도 있지만, 더 객관적인 이유를 찾자면 뿌려진 유머의 양에 비해 재미가 없었던 게임플레이, 그리고 하나의 유머 양상을 뇌절하는 게임의 구조라고 생각한다.

사실, 무겁고 진중한 분위기보다는 가볍고 유머러스한 분위기를 주 방향으로 채용하는 게임들이 적은 건 아니다. 대표적으로 예전에 했었던 There is no game 이나 Jazzpunk 의 경우 농담 따먹기가 많이 나옴에도 불구하고 추천을 남겼는데, Frog Fractions 의 경우 역시 농담이 앞의 두 게임만큼이나 나왔음에도 불구하고 비추천을 남겼다. 왜냐햐면, 전자의 경우들은 게임 내 유머가 많았음에도 불구하고, 한 형식의 농담을 지속적으로 플레이어에게 던지지 않고, 나름 재미있는 게임플레이 또는 탐험하는 재미를 제공하였기 때문이다. 또한, 이 두 게임 내 농담들은 텍스트 량이 많지 않아 바로바로 웃을 수 있는 농담들도 적지 않았다. 반면에, Frog Fractions 의 경우는 ""뜬금없이 일어나는 상황에서 오는 웃음 코드"" 를 주로 쓰는데, 일단 이 유머 코드가 취향에 맞지 않았을 뿐더러, 계속 이 코드만 사골국 끓이듯이 우려먹다 보니 점점 재미가 없어지는 상황과 마주하였다. 심지어 게임플레이조차 재미가 없어 강제로 꾸역꾸역 업적을 깨야했던 게임이었다. Paradigm 의 경우도 전형적인 포인트 앤 클릭 게임이 손이 많이 가는 장르임에도 불구하고 하필 고전적인 방식으로 진행을 하는 방향으로 시스템을 구성해 두어서 게임플레이 자체가 지루하며, 아이러니함을 쓰는 유머 코드들 및 스테리오타입을 깨는 유머들은 모두 텍스트 량이 많아 이러한 농담들이 취향에 맞지 않는다면 글을 읽다가 지루함이 먼저 닥칠 수 있다. 이 때문에, 게임플레이 및 내용이 둘 다 취향에 맞지 않은 입장에서는 이 게임을 별로 추천하고 싶은 마음이 들지 않았다.


물론, 모든 농담들 및 이를 주 기반으로 한 게임들이 그렇듯이, 취향에 맞으면 며칠동안 이러한 농담들이 떠오르며 웃을 수 있기 때문에, 만약 별 생각 없이 뇌를 비우고 웃으면서 할 만한 포인트 앤 클릭 게임을 찾는다면 한 번 해보는 걸 권장한다. 다만, 발매된 지 꽤 된 게임이라 70% 정도의 높은 할인률을 보이는 세일을 할 때 사는 걸 추천한다.

여담) 참고로 게임 진행 도중에 버튼 10000 번을 눌러서 퍼즐 구간을 스킵하거나, 직접 퍼즐을 풀어서 해당 구간을 통과해야 하는 부분이 있는데, 업적을 깨려면 퍼즐을 안 풀고 실제로 10000 번을 눌러야 한다. 괜히 손으로 일일히 눌러서 할 생각 하지 말고 오토클리커 켜라 ........"
23,23,600410,HERO-E,2017-03-08,0.0,6.0,6.0,Action,0.0,15.0,Free to Play,6.0,0.0,0.0,,mostly positive,single only,26.0,9.0,0.0,5.0,25.2,갓 겜
24,24,600420,Mob Rule Classic,1999-09-08,6500.0,6.0,6.0,Simulation,0.0,0.0,Simulation,1.0,0.0,0.0,,very positive,single only,154.0,38.0,3.2,112.0,,
25,25,600430,Ticket to Ride: First Journey,2017-09-27,5500.0,6.0,2.0,Casual,0.0,9.0,Casual,6.0,0.0,0.0,,positive,single only,183.0,95.0,1.7,189.0,24.1,플래쉬 게임으로 느껴지는 퀄리티. 티켓 투 라이드 포 키즈 버전. 번들용 게임이다.
26,26,600440,Cyber Complex,2017-08-04,10500.0,5.0,5.0,Action,0.0,21.0,Action,3.0,0.0,0.0,,1 user reviews,single and multi,3.0,1.0,,,6.8,
27,27,600460,Dustwind,2018-08-16,26000.0,5.0,5.0,Action,0.0,29.0,Post-apocalyptic,11.0,0.0,0.0,,mostly positive,single and multi,239.0,79.0,1.6,130.0,70.7,
28,28,600480,Megaquarium,2018-09-13,26000.0,5.0,5.0,Indie,0.0,21.0,Simulation,10.0,0.0,1.0,very positive,very positive,single only,2328.0,137.0,44.6,903.0,74.9,"일단은 캐쥬얼 빌드업에 가깝기 때문에
요즘 무겁거나 고급사양의 타이쿤류 게임들이
지향하는 다소 복잡하고 개연성있는 경영요소
라든지, 개체들간 상호 유기적인 부분이나
케릭터들의 디테일은 다소 떨어지는것이
사실이지만

단순하고 직관적인 게임의 디자인이나
지루하게 늘려가는 확장식 빌드가아닌,
수족관 구상 그 자체에 퍼즐적인 요소를
가미하여 그것을 통해 플레이어가
느낄 수 있는 자유도나 성취감을
극대화 시킨 점은 굉장히 훌륭하다.


특히 실제 물생활을 해본 플레이어(열대어등의 사육경험자)
에게는 상당히 비슷한 고민과 고충을 게임에
접목시켜놓았으므로 그점을 재밌어할 수 있
고 공감할 수 있는부분이 상당히 큰 매력이
아닐까한다.


타이쿤, 수족관이라는 두가지 취향중 하나라도
호감을 가진 사람에게는 상당히 괜찮은 게임이
될 수 있고 두가지 모두 취향을 두고 있는 유저
에게는 말 그대로 게임값보다 효용을 훨씬 뽑아
낼 수 있는 최고의 취향 저격게임일수있다.

단순히 캠페인 달성이라는 끝내기에 급급한
플레이방식보다는,내가 만든 디자인을 관찰한다든지,
전시되어 있는 개체들을 여유롭게 둘러본다든지의
한가한 게임의 시간 흐름과 느린템포의 게임성을
좋아하며 그것에 관대한 유저라면 더더욱
안성맞춤의 게임일것이다.

기술 했듯이 결론적으로 취향이 어느정도 많이
작용 할 수 있지만, 상점페이지의 스크린샷이나
동영상을 보고 어느정도 관심이 와닿아 이게임은
이러한 재미가 있을듯하다라는 사람이라면,
게임이 분명 어느정도 그부분을 충족시켜 줄 수 있을것.

단, 동물의 습성이나 장비의 배치문제의 연관때문에
다소 어려운 용어를 내포하고 있는등,
영어에 취약한 유저라면 조금은 플레이가 괴로울
수도 있다는 생각도 든다.

전형적인 인디개발자의 느낌이나 정황상
한글화같은 로컬 언어패치같은건 기대 할수
없어보이는점은 조금 안타깝기도 하지만..

어쨌든 추천."
29,29,600500,LASER STRIKERS,2017-04-17,1100.0,6.0,6.0,Casual,0.0,0.0,Indie,6.0,0.0,0.0,,2 user reviews,single and multi,1.0,1.0,,,,
30,30,600520,Cryogear,2020-04-17,18500.0,6.0,5.0,Action,0.0,23.0,Action,2.0,0.0,0.0,,4 user reviews,single only,10.0,0.0,,,50.0,
31,31,600530,Kautic - The Bald Wizard,2017-03-03,1100.0,6.0,6.0,Action,0.0,17.0,Indie,1.0,0.0,0.0,,positive,single only,27.0,5.0,8.1,279.0,4.2,"<1> 잠깐만.. 이거..?! 야! 이거 체력있는 앙빅 하위호환이거나 2지!?
<2> 아..빨리빨리!..아나! 나 진짜 한국사람이네
<3> 나는 지금 할아버지다 할아버지다 할아버지다~
근데 뇌놈새끼랑 손가락새끼는 왜 따로 노냐고!!으어어얽

인생의 목숨은 한개라고 생각하시는분들은 하드모드로 직행하세요!
그리고 누구보다빠르게 남들과는 다르게 뒈지시는겁니다!
(사실 이지나 노멀이나 하드나 목숨수말고 크게 달라지는건 없는듯...)

Tip: 침착 침-차악 치임-차악 치이임차아악~!
p.s: (씨익)바보야! 내가 무릎을 꿇었던 건 추진력을 얻기 위험이었다! (어쩔,피식-)
(씨익)바보야! 앙빅 보다 쉬워보였던 건 네가 한국사람이라서다! (방심,금물-인생훅가)"
32,32,600550,Save Our Souls - Episode I,2017-03-13,7500.0,6.0,6.0,Action,0.0,0.0,Female Protagonist,1.0,0.0,0.0,,mostly negative,single only,12.0,28.0,0.0,6.0,,시작과 동시에 제거하고 환불받았습니다.
33,33,600580,Dark Mechanism - Virtual reality,2017-05-10,2200.0,6.0,6.0,Casual,0.0,0.0,Casual,1.0,0.0,0.0,,2 user reviews,single only,3.0,5.0,,,,
34,34,600600,"""MakeThatMoney""",2017-03-23,6500.0,5.0,5.0,Casual,0.0,0.0,Simulation,1.0,0.0,0.0,,mixed,single only,19.0,18.0,,,,
35,35,600610,The Hand of Merlin,2022-06-15,28000.0,2.0,2.0,Indie,1.0,54.0,Turn-Based Strategy,1.0,0.0,1.0,mostly positive,mostly positive,single only,178.0,46.0,23.6,144.0,47.7,"굉장히 재미있음. 슬더슬 형식으로 노드 골라 이동하면서 랜덤 이벤트 생기거나 전투 하거나 하는 식. 전투는 SRPG입니다.

전투 난이도가 상당히 빡세긴 한데, 배브 즐겁게 했다 워테일 재미있었다 싶은 분들은 한 번 잡아보셔도 후회 안 하실 겁니다."
36,36,600630,Spaceship Looter,2017-05-17,0.0,5.0,5.0,Action,0.0,26.0,Action Roguelike,7.0,0.0,1.0,,mixed,single only,138.0,61.0,,,66.8,살짝 어린애가 보기엔 잔인하다
37,37,600640,Trapped Summoner,2017-06-09,2200.0,6.0,6.0,Action,0.0,17.0,Adventure,2.0,0.0,1.0,,6 user reviews,single only,9.0,3.0,,,24.9,
38,38,600650,OK Bob,2017-04-01,4400.0,6.0,6.0,Casual,0.0,0.0,Indie,1.0,0.0,0.0,,positive,single only,21.0,2.0,,,,
39,39,600660,Kimmy,2017-04-19,10500.0,6.0,6.0,Indie,0.0,0.0,Indie,1.0,0.0,0.0,,positive,single only,51.0,9.0,,,,
40,40,600670,Descending,2018-11-15,12500.0,6.0,6.0,Indie,1.0,0.0,Indie,1.0,0.0,0.0,,9 user reviews,single only,4.0,6.0,0.0,2.0,,
41,41,600690,TROID BLASTER,2016-11-01,1100.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,3 user reviews,single only,3.0,2.0,,,,
42,42,600720,Trackmania² Lagoon,2017-05-24,22000.0,4.0,1.0,Racing,0.0,0.0,Racing,21.0,0.0,0.0,,mixed,single only,164.0,96.0,2.1,96.0,,"환불해주세요
이건뭐 회원가입을 해야하고회원가입 하기도 복잡하고 힘드네요."
43,43,600740,Land Doctrine,2017-03-14,5500.0,2.0,2.0,Indie,0.0,11.0,Wargame,1.0,0.0,0.0,,mixed,single only,12.0,11.0,,,33.6,
44,44,600750,Star Trek Timelines,2016-01-14,0.0,6.0,6.0,Adventure,0.0,10.0,Free to Play,5.0,0.0,1.0,mostly positive,,,720.0,402.0,215.2,868.0,48.5,good..
45,45,600980,Master Shot VR,2017-06-16,8500.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,5 user reviews,single only,4.0,4.0,0.0,3.0,,
46,46,600990,The Gardens Between,2018-09-20,20500.0,5.0,5.0,Adventure,0.0,17.0,Short,13.0,0.0,1.0,very positive,very positive,single only,1922.0,123.0,3.1,131.0,62.1,"밤하늘을 수놓는 두 소꿉친구의 추억.

꿈의 세계를 보는 듯한 몽환의 정원을 배경으로 두 소꿉친구인 아리나와 프렌드를 조종해 시간의 흐름을 조절하고 정원의 꼭대기에 도달해 그들의 추억을 차근차근히 회상해나가는 감성적인 느낌의 게임이다. 밝고 편안한 색감의 섬과 추억이 담긴 물건들이 거대하게 배치된 정원의 풍경은 초현실적이면서도 몽환적인 느낌을 준다. 또한 잔잔하고 감미로운 음악은 정원의 몽환적인 분위기와 추억을 되새기는 두 소꿉친구의 아련한 감정을 배가시켜준다. 대사가 존재하진 않지만 두 친구의 행동을 통해 스토리를 충분히 이해할 수 있다.

조작법이 꽤 특이한 게임이다. 캐릭터를 직접 움직이는 것이 아니라 시간을 앞으로 돌리거나 뒤로 되감으면 정해진 동선에 따라 아리나와 프렌드가 알아서 움직인다. 특정 지점에서 장치를 작동시키면 거기에 따라 이동할 수 있는 영역이 달라지고, 어떤 경우에는 특정 오브젝트의 시간만 돌리는 것이 가능하다. 게임의 전반적인 매커니즘의 '시간의 흐름'이라는 컨셉에 집중되있는 모습이다. 시간의 흐름을 활용한 상당히 이례적인 느낌의 게임이며 여기에 익숙해지지 않는다면 헤메는 시간이 상당할 것으로 예상된다.

단순히 시간의 흐름만을 활용한 것에서 나아가 시간을 멈춘다는 개념도 적극 활용되는 게임이다. 반드시 특정 조작을 해야 게임이 진행된다고 생각하는 게이머들의 일반적인 인식에 의표를 찌르는 점이기도 하고, 시간의 흐름이라는 개념을 보다 복합적으로 활용한 부분이라고 볼 수도 있을 것이다. 그 밖에 불필요한 지점에서 굳이 뒤로 돌아가지 않게 길을 막아놓았고 오브젝트의 배치를 최대한 눈에 쉽게 띄게 만드는 등, 플레이어를 배려한 부분들이 눈에 띈다. 레벨 디자인에 있어 플레이어로 하여금 적당히 고민하면서도 너무 헤메지 않게 만들고자 고민한 흔적들이 엿보인다.

총 7개의 섬과 최후의 정원이 준비되있으며 각 섬의 모든 정원의 꼭대기에 다다르고 섬의 모든 물건을 해금하면 아리나와 프렌드의 추억이 담긴 장면을 감상할 수 있다. 두 소꿉친구의 진한 추억이 하늘에서 반짝이는 별자리처럼 점의 단위로 연결되고, 밝은 은하수처럼 빛나던 그들의 추억은 마침내 최후의 정원에서 끝맺음을 맞이한다. 두 어린 친구가 남긴 추억의 끝자락은 아름답지만 아련한 느낌을 남기고, 담담하지만 먹먹한 뒷맛을 남긴다.

시간의 흐름을 관리하는 게임플레이는 상당히 이색적이면서도 색다른 재미를 보여주고, 두 소꿉친구의 꿈의 정원에서의 여정은 우리에게 얕지만 잔잔한 울림을 선사한다. 이색적인 아이디어를 내세운 게임답게 플레이타임은 짧은 편이지만(2~3시간), 최소한 오랜 기대를 저버리는 게임은 절대 아닐 것이다."
47,47,601010,Hotel Anatolia,2017-03-20,1100.0,5.0,5.0,Adventure,0.0,6.0,Indie,2.0,0.0,0.0,,mixed,single only,200.0,86.0,14.0,2810.0,2.7,
48,48,601020,"Seed Of The Arcane , Episode 1",2017-05-12,16000.0,6.0,6.0,Adventure,0.0,37.0,RPG,1.0,0.0,0.0,,mostly negative,single only,12.0,26.0,,,13.4,
49,49,601050,Attack on Titan 2 - A.O.T.2,2018-03-15,64800.0,1.0,1.0,Action,0.0,40.0,Action,9.0,0.0,1.0,very positive,very positive,single and multi,4495.0,384.0,85.2,1368.0,90.2,"가격 좀 내리자
유저 많아지게"
50,50,601080,TRANCE VR,2017-05-26,8500.0,6.0,6.0,Action,0.0,0.0,Strategy,1.0,0.0,0.0,,no user reviews,single only,3.0,2.0,,,,
51,51,601110,Twin Roads,2017-07-06,5500.0,6.0,6.0,Adventure,0.0,89.0,Adventure,2.0,0.0,0.0,,4 user reviews,single only,2.0,2.0,0.0,2.0,54.8,
52,52,601120,Brain Machine,2017-09-18,5500.0,6.0,6.0,Indie,0.0,85.0,Indie,2.0,0.0,0.0,,positive,single only,39.0,2.0,0.0,5.0,97.1,
53,53,601130,Spark,2017-11-11,0.0,6.0,6.0,Action,0.0,11.0,Action,1.0,0.0,0.0,,positive,single only,13.0,3.0,0.0,5.0,66.2,
54,54,601150,Devil May Cry 5,2019-03-08,33400.0,1.0,1.0,Action,0.0,55.0,Action,12.0,0.0,1.0,overwhelmingly positive,overwhelmingly positive,single and multi,76545.0,4120.0,3063.4,88735.0,92.2,
55,55,601170,ZiL Truck RallyCross,2017-04-07,5500.0,6.0,6.0,Indie,0.0,0.0,Automobile Sim,1.0,0.0,0.0,,mixed,single only,45.0,33.0,0.0,5.0,,
56,56,601180,Doug and Lily,2017-03-01,1100.0,6.0,6.0,Action,0.0,0.0,Indie,1.0,0.0,0.0,,mostly positive,single only,24.0,7.0,4.6,3167.0,,
57,57,601200,Pix,2017-09-02,3300.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,6 user reviews,single only,5.0,1.0,,,,"EARLY ACCESS REVIEW
36탄이 끝이라 진짜 좃고수는 30분이면 다 깰 듯
설정이 없어서 소리를 키우지도 줄이지도 끄지도 못함 게임소리에만 집중해야 함"
58,58,601220,Zup! F,2019-12-11,1100.0,4.0,4.0,Casual,0.0,640.0,Casual,29.0,0.0,0.0,very positive,overwhelmingly positive,single only,7323.0,194.0,27.1,751.0,66.9,"<도전과제 효율>

플레이타임 : 63분
도전과제 : 640개
효율 : 1분에 약 10.159개의 도전과제를 딸 수 있음"
59,59,601240,Ripple,2017-04-01,1100.0,5.0,5.0,Casual,0.0,10.0,Puzzle,1.0,0.0,0.0,,mostly positive,single only,34.0,16.0,6.3,485.0,3.8,"생각보다 어려운 게임
정신놓고 하다보면 어쩌다 깨는 게임"
60,60,601250,Micronomicon: Heroes,2019-04-05,2200.0,6.0,6.0,Adventure,0.0,0.0,Indie,2.0,0.0,0.0,,mostly positive,single only,14.0,4.0,,,,
61,61,601320,Schlocks,2017-04-18,15500.0,6.0,6.0,Casual,0.0,0.0,Indie,1.0,0.0,0.0,,4 user reviews,single only,5.0,1.0,,,,
62,62,601380,The Last One,2018-01-23,9500.0,6.0,6.0,Action,0.0,5.0,Survival,12.0,0.0,1.0,,mostly negative,single only,45.0,81.0,,,8.9,"EARLY ACCESS REVIEW
최악임 정말 돈아까울정도로"
63,63,601400,qb,2017-08-08,8500.0,6.0,6.0,Action,0.0,0.0,Early Access,2.0,0.0,0.0,,mostly positive,single and multi,39.0,12.0,,,,
64,64,601430,The Evil Within 2,2017-10-13,44500.0,1.0,1.0,Action,0.0,51.0,Horror,12.0,0.0,0.0,very positive,very positive,single only,20151.0,1651.0,273.5,9846.0,81.8,"공포 액션 게임 이블 위딘 2 !

플레이 후 느꼈던 점을 몇 가지 적어보려합니다.

좋았던 점

1.공식 한글화

공식 한글화를 통해 좀 더 시스템 적응 및 스토리에 몰입

할 수 있는 부분이 참 좋았습니다.


2. (반)오픈월드 형식

이번작은 (반)오픈월드 방식을 취하고 있어 초 중반까지는

사이드 퀘스트들도 즐길 수 있어 전작에 일직선 진행방식을

탈피했다는 점은 개인적으로 좋은 시도였다고 생각되어집니다.


3.매력적인 빌런과 새로운 적(몬스터)들

초 중반에 메인스토리로 이어지는 '스테파노' 라는 빌런은

개인적으로 마음에 들었던 케릭터였습니다.

마치 코믹스 '킬링 조크' 에 영향을 받은 듯한 사이코패스로

등장하는데 이런 매력적인 케릭터 뿐만 아니라 새로 등장하는

몬스터 들은 개인적으로 게임에 좀 더 몰입시켜 주는

중요한 요인으로 작용하였던 것 같아 좋았습니다.


4.다양한 이스터 에그들과 1인칭 모드

제작사의 재치를 엿볼 수 있는 요소로 좀 더 게임을

재밌게 플레이 할 수 있고

다회차 하게 만들어 놓은 장치로 생각되어집니다.


아쉬웠던 점

1.최적화 및 버그

개인적으로 플레이 하면서 그렇게 많이는 아니지만

프레인 드랍이 일부 구간에서 일어났었습니다.

또 가끔 일부 버그도 있었는데

총을 바꾸는 중에 시네마틱 진행되면

총이 바뀌지 않거나 문이 열리지 않는 등

작은 버그들도 발견되었습니다.


2.A.I 와 임팩트 없는 보스

이번작은 전작에 비해 A.I 가 좀 떨어지는 느낌을 받았습니다.

특히 전작같은 경우는 미칠 듯이 주인공을 발견하면

죽일려고 달려드는데 이번 편은 적이 따라오다가

얼마 안가서 다시 돌아가는 것 뿐 아니라

멀쩡이 면상앞에 있는데도 공격을 뒤늦게 하는 등

인공지능이 좀 떨어지는 느낌을 받아 아쉬웠습니다.

또 전작에 비해 보스들의 임펙트가 그리 크지 않았습니다.

전작의 로라나 키퍼 같은 상징적이고

공포감 있는 보스가 없었던 것도 아쉬웠던 부분입니다.

(굳이 뽑자면 초중반에 등장하는 스테파노나 가디언 정도)


3.긴장감과 공포감의 유지

바이오하자드 같은 게임도 그렇지만

이런게임은 초중반에 긴장감과 공포감을

유지시켜주지만 뒤로 갈수록 액션겜이 되어버리는데

이번편은 특히나 그 시기가 빨리 찾아오는 것 같았습니다.

-------------------------------------------------------

1편을 재미있게 즐기셨던 분이나

바이오하자드같은 3인칭 액션 슈터 게임을

좋아하시는분들에게 추천하고 싶은 작품입니다."
65,65,601490,Passengers: Awakening VR Experience,2017-03-14,8500.0,6.0,6.0,Adventure,0.0,0.0,Casual,1.0,0.0,0.0,,mixed,single only,8.0,10.0,,,,
66,66,601500,Lost in Nature,2017-03-15,16000.0,6.0,6.0,Adventure,0.0,0.0,Indie,2.0,0.0,0.0,,mixed,single only,12.0,10.0,0.0,6.0,,
67,67,601510,Yu-Gi-Oh! Duel Links,2017-11-17,0.0,2.0,2.0,Free to Play,0.0,20.0,Free to Play,11.0,0.0,0.0,mostly positive,very positive,single only,31281.0,6017.0,3291.2,21377.0,66.7,"╭(･ㅁ･)و 커몬!
＼(‘ A ‘/ 고우!
ƪ(`Д´)ഽ 클로즈서몬!
(▼-▼)ഽ 왜그러지? 휘청거리고 있지 않나!
(･□･)ഽ 그 카~드, 허세로 볼 수 있겠군"
