,Unnamed: 0,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate,review
10,10,205100,1,Dishonored,2012-10-10,11530.0,2,1,Action,0,80,Stealth,5,0,1,overwhelmingly positive,overwhelmingly positive,single only,66241,1693,601.9,19930.0,84.8,"[[ 가격 ]]
■ 정가 줘도 좋음
□ 20% 세일까지 존버
□ 50% 세일까지 존버
□ 70% 이상 세일까지 존버
□ 90% 이상 세일까지 존버
□ 무료

[[ 그래픽 ]]
□ 황홀함
■ 멋있고 개성 있음
□ 개성 있음
□ 괜찮음
□ 못 봐줄 수준은 아님
□ 불편함
□ 눈을 가리고 싶어짐

[[ 사운드 ]]
□ 기저귀 갈아야 됨
□ 찰짐
■ 알맞음
□ 괜찮음
□ 싫증남
□ 구림
□ 고막을 찢고 싶음

[[ 인터페이스 ]]
□ 게임이 나를 엄마보다 잘 챙겨줌
■ 유저 친화적
□ 크게 불편하지 않음
□ 약간 귀찮음
□ 비효율적이고 답답함
□ 플레이 자체가 노동

[[ 사양 ]]
□ 초고사양 컴퓨터
□ 고사양 컴퓨터
□ 적당한 컴퓨터
■ 가정용 컴퓨터
□ 노트북
□ 할머니댁 컴퓨터

[[ 한글화 ]]
□ 번역이 원본을 뛰어넘음
□ 제대로 한글화가 되어있음
□ 한글화가 되어있는데 애매함
■ 유저 한글화가 되어있음
□ 유저 한글화가 되어있는데 애매함
□ 비한글화지만 지장 없음
□ 비한글화로 플레이가 어려움

[[ DLC ]]
□ 없음
□ 간단한 꾸밈 컨텐츠를 구매할 수 있음
■ 확장판 수준의 컨텐츠 추가 DLC가 하나 혹은 몇 개 있음
□ 컨텐츠의 대부분을 DLC로 발매함
□ DLC를 구매하지 않으면 게임 플레이에 지장이 있음

[[ 모드 ]]
□ 모드가 이 게임의 핵심
□ 다양하고 종류가 많음
□ 비공식 추가 요소 패치가 있음
□ 텍스처 개선 및 커스텀 스킨 추가 가능
■ 모드 설치 불가능 / 모드 제작자 없음

[[ 난이도 ]]
□ 사람이 할 짓이 아님
□ 고인물 게임
□ 적응되면 할 만함
■ 난이도를 줄이는 방법이 있음
□ 켠김에 왕까지 문제 없음
□ 우리 엄마도 가능
□ 손가락 몇 개 없어도 가능

[[ 스토리 ]]
□ 소름 돋음
□ 튼튼하고 독창적임
■ 튼튼함
□ 평범하지만 개성있음
□ 무난함
□ 무난하지만 엉성함
□ 부실함
□ 발로 썼냐
□ 뇌를 씻고 싶다

[[ 레벨 디자인 ]]
□ 레벨 디자인 교과서
□ 독보적임
■ 참신함
□ 평이함
□ 허술함
□ 부조리함
□ 한숨이 절로 나옴

[[ 플레이타임 ]]
□ 100시간 이상
□ 50시간 이상
■ 30시간 이상
□ 10시간 이상
□ 5시간 가량
□ 1시간 이하

[[ 버그 ]]
□ 전혀 없음
■ 1~2개 있음
□ 자주 보임
□ 꽤 많음
□ 플레이 불가 수준
□ 게임 자체가 버그 덩어리

[[ 몰입도 ]]
□ 정신을 차리고 보니 다음날
□ 시간이 너무 잘 감
■ 빠져듬
□ 적당함
□ 집중이 안 됨
□ 합법 고문

[[ 중독성 ]]
□ 일상생활이 안 됨
□ 다른 일을 하다가도 생각이 남
■ 가끔씩 하고 싶음
□ 엔딩 본 이후로 안하게 됨
□ 이런 게임이 있었나..?

[[ 노가다 ]]
■ 필요 없음
□ 필요한 부분만 하면 됨
□ 노가다를 해야 해금되는 요소가 있음
□ 게임 내의 불편한 점을 해소하려면 노가다를 해야함
□ 노가다를 여러가지 해야 됨
□ 노가다를 하지 않으면 아예 진행이 안 됨

[[ 게임성 ]]
□ 완벽에 가까움
□ 정교함
■ 쫄깃함
□ 적절함
□ 부족함
□ 지루함
□ 게임이 아님
□ AVGN"
11,11,238460,1,BattleBlock Theater®,2014-05-16,15500.0,2,2,Action,0,30,Comedy,11,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,63906,1802,328.7,14269.0,86.9,아기자기
12,12,1113000,1,Persona 4 Golden,2020-06-14,19800.0,2,1,RPG,0,50,JRPG,4,0,0,very positive,overwhelmingly positive,single only,54753,1587,1916.8,29984.0,77.0,
13,13,636480,1,Ravenfield,2017-05-19,16000.0,3,3,Action,0,0,FPS,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,49412,1500,1201.8,3927.0,,"EARLY ACCESS REVIEW
레이븐 필드에 오신 것을 환영합니다!

광할한 오픈월드에 그레위트한 전장을 오직 인공지능과 함께 즐기시기 전에 이 글을 읽어보시고 게임을 시작하면 큰 도움이 되실 것 입니다!

시작전 여러분들은 인공지능들이 사용가능한 무기를 제한하실 수 있고,맵 상황을 레이븐(Red)팀이 우월적으로 차지해 차근차근 깨 나가실수도 있으며 야간전, 또는 탈것 X로 넓은 맵에서 뛰어다니기만 하실 수도 있습니다!
아니면 아군과 적에게 비슷한 스킨을 적용해 팀킬할 구실을 만들 수도 있습니다!

이제는 무기와 장비를 독립적으로 사용할 수 있게 만들었습니다! Weapon,Vehicle Set에 가셔서 입맛데로 바꿔보시기 바랍니다!

추가로 스킨도 추가되었습니다. ^-^/ 여러군을 포함한 다양한 스킨들을 마음에 드시는 걸로 적용시켜 보세요!


이 게임은 특이하게도아군에게 G를 누르시면 당신의 부하로 등용 할 수 있으며
앉으면 똑같이 앉기도 하고 뛰면 똑같이 뛰기도 합니다.






또 여러분이 플레이하고 있는 시점에서 발밑을 G로 누르시거나 꾹 누르시면 'Regroup'이란 글이 뜨는데 누르시면 아군들이 무조건 여러분을 따라옵니다. 왼쪽 하단 HUD에 부하 수와 상태가 표시됩니다.

이에 대해 상태는 총 3가지로 나뉘어지는데

=대기중
=이동중
=따라가는중
로 나누어 집니다.









이번업데이트로 야간투시경과 분대장 명령 킷을 구지 착용하지 않으셔도 쓰실 수 있습니다!

인공지능 난이도는 Easy, Medium, Hard로 나누어 지는데, Hard부터는 플레이어와 하는 듯한 느낌을 느끼실 수 있을 겁니다. 그만큼 정확도가 커 혼자서 깨기에는 어려우실 수 있습니다.
(난이도는 직접 설정에 들어가셔서 확인할 수 있습니다.)




이 게임을 시작하기 전 당신에게는 3가지의 팀에 들어갈 수 있는데,
Raven, Eagle, Spector(관중)으로 나눠집니다.

은 빨간 병사들,
은 파란 병사들로 구성되어 있으며
즉, 같은 모델의 장비류에 같은 도구를 같이 사용할 수 있으며, 비탑승류는 모두 중립으로 여겨집니다.

관전은 자유시점으로 아무 팀 쪽 병사를 보고 마우스 왼쪽또는 오른쪽을 누르시면 시점이 셀프 카메라마냥 고정이 가능합니다.



게임 모드는 무려로 로 나눠지게 되는데, 이 모드를 각각 설명해보겠습니다.


○ 여러분은 본부에서 직접 아군의 무기의 제한을 풀거나 직접 지시하여 땅따먹기를 하실 수 있습니다! 만약 싸우는게 귀찮으시다면 자동전투를 이용해 긴 전투를 하지 않고도 결과를 보실 수 있으며, 점령한 만큼 포인트가 쌓여 옆에있는 연구소에서 직접 무기와 장비를 풀 수 있습니다.

처음 트레일러에 나왔던 조언자가 드디어 나왔네요!



○ 말 그대로 점수를 누가 먼저 올리냐 입니다. 시작시 상단에 점수표를 보실 수 있으며 X1은 점령한 깃발만큼 올라가는 배수입니다.
각각의 맵에 있는 깃발 지점들을 많이 차지할 수록 적을 처치시에 대한 점수가 증가하며 그만큼 승산이 큽니다.


○시작시 HUD상단에 각 팀마다 3개의 표시가 주어집니다.
그러다가 상단에 자꾸 깎여나가는 모습이 보이는데, 다 깎여질시에는 'TEAM(레이븐 or 이글) Lost a Battlions'로 나중에는 아군이든 적이든 수가 적어지게 되어 불리하거나 유리한 상황이 되고 결국은 한쪽 팀에서 대대를 모두 잃게될시 경기는 아직 남아있는 팀이 승리하게 되며, 진팀은 더이상 소환되지 않습니다.


○시작할시 아군쪽은 당신이 지휘할 수 있으며, 4~6명 밖에 안됩니다.
반대로 적군쪽은 소대 정도이며, 여러분은 얼마 안되는 병사들을 데리고 물량군을 무너뜨려야 합니다.




Hard로 하신다면, 꽤나 골치아프실 수 있습니다.


○할로윈 기념 모드입니다. 시작시 어두운배경에 'Investigate the Anomaly'라고 뜨며 권총1자루와 야간투시경, 렌치, 탄약 상자를 배급, 총 기본 3명의 부하와 4인용 차량을 타고 시작하게 됩니다. (Islands맵에는 차량이 없으며 인원수 설정이 가능합니다.) 그리고 그 지역을 도착하게 되면 'Prepare For Incomming Wave'로 다가오는 웨이브에 대비하라고 합니다. 그리고는 해골들이 소환되어 여러분을 공격하려 합니다. 그 과정에서 Anomaly안에서 이탈시 체력이 깎이며, 상단에 일정 수 만큼 채우시면, 남아있는 해골들은 모두 죽게 됩니다.

참고로 총을 든 해골놈을 보셨다면 먼저 죽이시길 바랍니다.
그놈들이 많아질 수록 골치아파집니다.

그러던 중 종종 마녀 허수아비를 보게 되는데 앞에서 기다리시면 랜덤 이벤트가 나옵니다. (해골, 탄약, 체력 등등..)
참고로 무기는 보라색 어노멀리 구역에세 랜덤으로 획득이 가능합니다.


○ 특정 구간이 있습니다. 그구간을 점령, 또는 저지하여 상단에 있는 포인트가 꽉차면 상대팀이 부대를 잃어서 적은 수로 싸워나가는 모드입니다.

90초간의 제한시간이 지난후 점령포인트가 차기 시작하는데 만약 여러분이 2vs1로 우선을 차지해도 적도 같이 점령포인트가 쌓이기 시작합니다!

간략하게 얘기드리면 전투(Battle)의 땅따먹기 버전이라고 보시면 될 겁니다!


○ 소규모 규전이라고 해석되는 걸로 보아 제한된 인원으로 싸워야합니다.
만약 당신이 게임중에 죽었다면 당신은 랜덤으로 아군을 조종하여 싸우게 될 것입니다.


아군또는 상대군이 불리해질떼 비행기로 아군 부대가 낙하산을 타고 옵니다.
만약 비슷한 시간때에 여러분이 죽었다면 비행기에서 다시 소환될 것입니다!
게임의 길이조절에 따라 아군지원군의 수가 달라집니다.

+업데이트로 이제 어떤목록이 업데이트 될지 확인하실 수 있습니다.
낙하산, 커스텀 점령전, spec ops무기 커스터마이징등등..

비록 3년이라는 시간이 지났지만 개발자가 꾸준히 피드백을 받아들이고 업데이트를 하면서 마침내 스팀뉴스에 Spec ops업데이트로 나와있는 모습을 보니 정말 뿌듯하네요."
14,14,239030,1,"Papers, Please",2013-08-09,10500.0,2,2,Adventure,0,13,Indie,10,0,0,overwhelmingly positive,overwhelmingly positive,single only,50836,1575,477.3,6038.0,56.8,"한 나라의 입국 검문소 근무자가 되어 여러 서류와 비자의 사실 관계를 확인하여 출입 시키는
본격 서류 게임이라고 할 수 있겠다. 게임 자체가 특이하고 좋은 발상이여서 재밌다.

근데 나는 이 게임을 오래 못해먹겠다. 군대 있을때 맨날 하던짓이 검문소 출입 인원 조사였는데
이걸 게임으로 또 체험할려니 그때가 생각나서
씨1발"
15,15,213670,1,South Park™: The Stick of Truth™,2014-03-06,33000.0,2,1,Action,0,50,RPG,8,0,1,overwhelmingly positive,overwhelmingly positive,single only,49594,1236,322.9,34645.0,73.5,"철저히 사우스 파크의 팬을 위한 게임

원작을 초월한 게임으로써 사우스 파크의 대부분의 것들이 게임에 자연스럽게 녹아들어있습니다. 개발자 한명한명 모두가 사팤의 팬이 아닐까 싶은 정도의 미친 퀄리티를 자랑합니다.

사팤다운 스토리 사팤다운 개그 사팤다운 아이템 사팤다운 수위 사팤다운 센스 사팤다운 음악 등등 모든것들이 다 흠잡을 곳이 없습니다.
이 게임의 유일한 단점은 사팤을 접해보지 못한 자들이 플레이하는것이 아닐까요?"
16,16,1332010,1,Stray,2022-07-20,35000.0,2,2,Adventure,0,24,Cats,16,0,1,,overwhelmingly positive,single only,37649,863,33242.1,51455.0,93.6,"🤖
／＞'　''フ
| 　_　 _ l
／` ミ＿Yノ
/　　　 　 |
/　 ヽ　　 ﾉ
│　　|　|　|
／￣|　　 |　|　|
| (￣ヽ＿_ヽ_)__)
＼二つ"
17,17,1454400,1,Cookie Clicker,2021-09-02,5500.0,6,6,Casual,0,583,Clicker,13,0,1,overwhelmingly positive,overwhelmingly positive,single only,33457,871,12351.1,67806.0,99.7,"조금밖에 하진않았는데 존나 족같네요

- 22.02.07추가 -

조금밖에 안하고있는데 더 족같네요....

-22.04.10 추가-

시작한지 얼마 안됐는데 돌아버리겠네요."
18,18,447530,1,VA-11 Hall-A: Cyberpunk Bartender Action,2016-06-21,16000.0,2,4,Adventure,0,34,Cyberpunk,3,0,0,overwhelmingly positive,overwhelmingly positive,single only,28716,676,163.5,1554.0,97.8,유저한글패치 https://team-sm.tistory.com/96
19,19,250320,1,The Wolf Among Us,2013-10-11,15500.0,6,6,Action,0,35,Adventure,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,27789,653,92.1,14130.0,90.3,주말동안 최고의 미드를 보았다!
20,20,420,1,Half-Life 2: Episode Two,2007-10-10,8500.0,1,1,Action,0,23,FPS,17,0,1,overwhelmingly positive,overwhelmingly positive,single only,28981,914,171.6,1381.0,91.3,"하프라이프 3를 6년 째 기다리고 있네요.

+7년째 기다리고 있네요

++8년째 기다립니다 2017년 정유년 새해에는 나오길 빕니다

+++안 나온답니다 포기하면 편해요





++++ Half-Life: Alyx 2020년 3월"
21,21,1290000,1,PowerWash Simulator,2022-07-15,29800.0,6,1,Casual,1,40,Simulation,9,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,22888,539,3232.5,10503.0,23.1,"EARLY ACCESS REVIEW
물만 뿌리는데 왜 잼있지"
22,22,288160,1,The Room,2014-07-28,5500.0,2,2,Adventure,0,5,Puzzle,6,0,0,overwhelmingly positive,overwhelmingly positive,single only,20489,467,96.5,648.0,89.2,조금은 억지스러운 부분이 있긴한데 퍼즐게임을 좋아한다면 푸는재미는 확실히 있습니다
23,23,597170,1,Clone Drone in the Danger Zone,2021-07-27,20500.0,6,6,Action,1,57,Robots,11,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,18252,559,290.8,1921.0,67.8,"EARLY ACCESS REVIEW
게임 잘만듬 초딩게임류이긴 하지만 갠찮음"
24,24,450540,1,"Hot Dogs, Horseshoes & Hand Grenades",2016-04-05,21000.0,6,6,Action,0,0,VR,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,15227,470,281.5,5184.0,,"EARLY ACCESS REVIEW
처음 했을땐 장전을 어떻게 하는지, 탄창 어떻게 빼는지, 조정간은 어떻게 바꾸는지 몰라 많이 헤맸다.

우선 처음 시작했을 땐 Sampler Platter에서 기본적인 조작법을 익힐 수 있고 총기에 따른 세부적인 조작법은 총기 생성기 윗부분에서 확인할 수 있다

그 외 팁으로는 (WMR 사용중이므로 기기에 따라 다를 수 있음)

0. 대부분의 총기가 안전모드로 생성되므로 방아쇠를 쥔 손의 패드 왼쪽을 눌러 발포모드로 만들고 쏴야 한다.

1. 컨트롤러를 손바닥이 보이도록 돌리면 메뉴 패널이 나온다. 여기서 이동 방식, 장면 초기화, 홈으로 돌아가기 등이 가능하다

2. 탄창을 허리춤의 주머니에 넣고 패드를 눌러 파란색이 되게 하면 탄창 자동생성 모드(Spawnlock)가 되고,
총기를 주머니에 넣고 패드를 누르면 초록색이 되어서 총기를 놓아도 자동으로 주머니로 되돌아간다.

2-1. 총알을 하나씩 줄 때 (샷건, 일부 리볼버 등), 주머니에 Spawnlock을 시키고 총알을 손에 잡은 채로 주머니에 대고 패드 위쪽을 누르면 주머니에 총알을 넣을 수 있다. 그 후 주머니에서 탄환을 꺼내면 한번에 여러개씩 꺼낼 수 있다.

3. 아무것도 들고 있지 않은 손으로 패드를 꾹 누르면 붉은 선이 만들어지는데, 집을 수 있는 물체를 가르키면 푸른 선으로 바뀐다. 이때 트리거를 당기면 먼 거리에서 물건을 집을 수 있다.

4. 방아쇠를 쥔 손의 패드의 아래쪽을 누르면 탄창이 빠져나온다. (일부 총기 한정) 왼쪽을 누르면 조정간이 바뀐다.

5. 일부 총기의 경우 안전/발포와 단발/연발 셀렉터가 나눠져 있는 경우가 있는데(예: 벡터), 이 경우 셀렉터를 직접 눌러줘야 단발/연발을 바꿀 수 있다.

6. 볼트액션 라이플의 경우 두 손으로 총을 잡은 상태에서 방아쇠를 쥔 손 패드 오른쪽을 누르고 움직여서 장전할 수 있다

7. AR-15계열 총은 디테일하게도 탄창 교체 후 노리쇠멈치를 쳐서 장전가능

8. 중절식 총 (샷건 등)은 방아쇠를 쥔 손의 패드의 위쪽을 누르면 약실이 열린다

9. 큰 총 (AWP, 대물저격총 등)은 일반 주머니에는 들어가지 않는데, 머리 양옆에 있는 주머니(잘 보이지 않는다)에는 장착 가능하다

10. 레일에 장착된 액세서리를 떼고 싶을 땐 액세서리를 잡고 패드 아랫쪽을 누르면서 떼내면 된다. 레이저 포인터나 손전등의 경우 액세서리를 잡고 패드 위쪽을 누르면 켜고 끌 수 있다.

11. 총 생성기 Misc.에 있는 붉은 색 패널에서 다양한 종류의 총알(할로포인트, 풀메탈재킷, 소이탄, 예광탄 등)을 만들 수 있다.

11-1. 탄창을 잡은 채로 패널에서 해당되는 탄환에서 탄종을 고르고 Load Held Mag With를 누르면 탄창을 해당 탄종으로 채울 수 있다.

12. 소음기 등 총열 부착물을 끼우고 돌려줘야 고정이 된다. 그냥 쏘면 소음기가 빠짐

사실 이런 세세한 내용을 직접 알아가야 한다는 게 좀 불친절한 것 같긴 하지만 (물론 유튜브에 업데이트 내용을 매주 올리긴 하지만 처음하는 사람이 다 확인하기 어렵다) 시스템에 익숙해지면 매우 훌륭한 시뮬레이터가 된다.

그 외 모르는 내용을 댓글로 남기면 추가하겠음. (안다면)"
25,25,425580,1,The Room Two,2016-07-05,5500.0,2,2,Adventure,0,7,Puzzle,6,0,0,overwhelmingly positive,overwhelmingly positive,single only,14447,316,72.8,369.0,92.4,"1편이 퍼즐 하나에 집중했다면
2편은 퍼즐을 풀기 위해 주변에 있는 퍼즐까지 이용해야해서
퍼즐이 커지고 복잡해진 느낌."
26,26,531510,1,Just Shapes & Beats,2018-06-01,20500.0,4,4,Action,0,26,Rhythm,14,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,14532,326,108.9,918.0,74.2,"🐛 발견된 버그
언어가 한국어 또는 일본어인 상태에서 엔딩 크레딧을 보면 Esc 키를 누르지 않아도 시작되자마자 스킵되는 버그 발견. 언어가 영어인 상태에서 엔딩 크레딧을 보면 스킵되지 않는다.
2019/6/1 기준 고쳐짐


✔️ 캐주얼
✔️ 하드코어


➖ 있음 (폭력)
➖ 있음 (성)
➖ 경미함
✔️ 없음


➖ 스토리 없음
➖ 스토리는 있으나 게임은 스토리에 초점을 두지 않음
➖ 괜찮음
✔️ 좋음
➖ 환상적임


➖ 감자
➖ 나쁨
➖ 괜찮음
✔️ 좋음
➖ 아름다움
➖ 거의 현실


➖ 없음
➖ Midi
➖ 나쁨
➖ 괜찮음
➖ 좋음
✔️ 환상적임
💰 사운드트랙 판매 여부 : ✔️


➖ 두 팔만 있으면 됨
✔️ 쉬움
➖ 배우기 쉬움 / 마스터 되기 어려움
✔️ 어려움
➖ 다크 소울


➖ 매우 짧음 (0 - 2 시간)
✔️ 짧음 (2 - 8 시간)
➖ 몇 시간 정도 (8 - 12 시간)
➖ 긺 (12+ 시간)
✔️ 무한


➖ 90년대 컴퓨터
✔️ 최저
➖ 보통
➖ 높음
➖ 하이 엔드
➖ NASA 컴퓨터


✔️ 지원
➖ 미지원


➖ 무료
➖ 원가
✔️ 세일
➖ 사지 마라


➖ 게임 자체가 버그 덩어리
➖ 버그 많음
✔️ 버그 조금
➖ 없음"
27,27,1392820,1,Milk inside a bag of milk inside a bag of milk,2020-08-26,1100.0,6,6,Adventure,0,0,Visual Novel,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,12189,338,18.5,70.0,,"불안에 떠는 소녀가 상점에서 우유를 살 수 있도록 도와주는 비주얼 노벨입니다. 잘 이끌어준다면 한 번에 우유를 사서 집으로 보낼 수도 있겠지만, 저는 심보가 못돼서 세 차례의 시도 끝에 성공했습니다. 그래도 20분이 걸리지 않았어요. 아주 짧은 게임입니다.

기괴한 비주얼과 음향 효과가 인상적입니다. 대화에 따라 드러나는 소녀의 심리 상태는 꽤 우울하고요. 그로테스크한 면도 있지만, 무섭다기보다는 슬프고 안타까운 감정이 앞섭니다. 선택지 내용과 타이밍이 공감을 자아내 몰입도가 높습니다. 그래서 심한 말을 할 땐 죄책감도 크고요. 짤막한 단편 소설 읽는 느낌으로 추천합니다.

여담으로, 캐나다도 그렇던데, 러시아에서도 우유를 봉지에 담아 판다는 사실을 이 게임으로 알게 됐습니다. 팩으로 된 우유로도 몇 차례나 지옥을 맛봤는데 비닐 가방이라니. 우유 심부름은 심리 상태 건강한 아이들에게도 조마조마한 일일지도 모르겠단 생각이 들자, 소녀의 마음이 조금 더 와닿았습니다.


[참고] 플레이 영상 (한국어 자막)
※ 게임이 짧아서 한국어 자막 버전을 만들어봤습니다. 의역과 오역이 매우 많으니 감안해주세요."
28,28,557600,1,Gorogoa,2017-12-15,15500.0,2,2,Adventure,0,11,Puzzle,17,0,1,overwhelmingly positive,overwhelmingly positive,single only,11453,298,64.6,809.0,96.2,"4컷 속에서 돌아가는 인생의 파노라마.

고퀄리티의 일러스트와 독특한 매커니즘으로 무장한 경이로운 퍼즐 게임이다. 신비롭고 영험한 존재인 용을 만나기 위해 4컷 안에 있는 그림을 적절히 움직이고 재배치해가며 다섯 빛깔 열매를 모아야 한다. 바구니를 든 소년은 그림의 배치에 따라 컷과 컷을 자유자재로 넘어다니며, 컷과 컷을 넘나들 때마다 시간과 공간을 자유롭게 넘나들게 된다. (게임플레이에 관해서는 직접 영상을 한 번 보는게 이해가 더 빠를 것이다.)

게임을 플레이하다보면 고품질의 일러스트가 부드럽게 움직이는 광경에서 한 번 놀라게 된다. 고로고아는 엄청난 퀄리티의 일러스트에서부터 시선을 확 끌어당기는 인디 게임이다. 한 장 한 장 피땀어린 정성으로 그려낸 고로고아의 애니메이션은 단순히 게임을 넘어 마치 한 편의 예술 작품을 보는 듯 하다. 이는 개발자의 오랜 집념과 강한 의지가 빚어낸 놀라운 결과물이라고 봐도 좋을 것이다.

그리고 고로고아가 선보이는 독특한 매커니즘의 퍼즐에 또 다시 한 번 놀라게 된다. 한 컷 안에서의 확대와 축소, 서로 다른 컷의 재배치를 통한 컷끼리의 연결과 통합과 분리 등을 통해 풀어나가는 고로고아 특유의 상상력을 최대한 활용한 퍼즐은 독특하고 창의적이며 경이롭기까지 하다. 직접 컷을 이리저리 움직이고 각 컷이 결합되 유기적인 움직임을 보이는 광경을 보고 있자면 그저 놀라움을 담은 감탄만 쏟아져나올 것이다.

플레이타임은 1시간에서 1시간 반 정도로 그리 긴 편은 아니다. 짧은 플레이타임이 다소 아쉽긴 하지만, 게임의 모든 일러스트와 애니메이션을 전부 혼자서 만들었다는 점을 감안해본다면 짧은 플레이타임은 조금은 어쩔 수 없었을런지도 모른다. 그 대신 고로고아에는 500수 이내에 게임을 클리어하는 도전과제와 30분 안에 게임을 클리어하는 도전과제가 존재하는데, 여유가 된다면 이걸 도전해보도록 하자. 한 번 게임을 클리어한 이후 신중하게 게임을 풀어나가다보면 어렵지 않게 도전과제를 획득할 수 있을 것이다.

'게임은 예술이 될 수 있을까?'라는 의문에 대한 가장 세련된 해답이 될 수 있을 불후의 명작."
